iteration,residual_norm,correction_norm,state_jacobian_condition,state_jacobian_min_singular_value,linear_solver,step_factor,experiment,z_W0_m,smooth_width_m
4,2.8481558774964254e-07,1.1778370460377234e-10,9212.183671491239,0.7238196772342352,solve,1.0,fixed_z_width_path,9900.0,150.0
5,2.8111640958568243e-07,1.1625220174704106e-10,9212.181149724678,0.7238196120271334,solve,1.0,fixed_z_width_path,9900.0,150.0
6,2.7486208852058917e-07,1.1365795672250774e-10,9212.183660583074,0.7238196769655321,solve,1.0,fixed_z_width_path,9900.0,150.0
7,2.627871012018622e-07,1.086654027194474e-10,9212.183672046132,0.7238196772675642,solve,1.0,fixed_z_width_path,9900.0,150.0
8,2.3768791254726203e-07,9.82924525152553e-11,9212.18367252913,0.7238196772304547,solve,1.0,fixed_z_width_path,9900.0,150.0
9,1.858337634719926e-07,3.842515489604055e-11,9212.181127252577,0.7238196114224993,solve,0.5,fixed_z_width_path,9900.0,150.0
10,1.0460579162593973e-07,4.325500123987573e-11,9212.183676274653,0.7238196773305978,solve,1.0,fixed_z_width_path,9900.0,150.0
11,1.0012752741544856e-07,2.070087532566309e-11,9212.183653318581,0.7238196768130755,solve,0.5,fixed_z_width_path,9900.0,150.0
12,5.698858492450904e-08,2.9455357095605922e-12,9212.183677278847,0.723819677347653,solve,0.125,fixed_z_width_path,9900.0,150.0
13,3.4836053342278075e-08,7.201877184423333e-12,9212.183678013427,0.723819677376325,solve,0.5,fixed_z_width_path,9900.0,150.0
0,241.2854515772521,0.5238144740742838,10712.681557639511,0.6183692255981196,solve,1.0,fixed_z_width_path,9900.0,100.0
1,46.169302787306194,0.0716439991078428,15130.00904523013,0.6186808698974311,solve,1.0,fixed_z_width_path,9900.0,100.0
2,1.233707768224681,0.0017535591917303478,14434.998243512762,0.6185902048259336,solve,1.0,fixed_z_width_path,9900.0,100.0
3,0.0011375011854664625,1.051020859344993e-06,14418.64629927728,0.618584496871872,solve,1.0,fixed_z_width_path,9900.0,100.0
4,1.2804738404427658e-07,2.3651789628297386e-11,14418.63691733654,0.6185844892158151,solve,0.5,fixed_z_width_path,9900.0,100.0
5,6.976656827907786e-08,1.2828876838156782e-11,14418.636924425464,0.6185844894467957,solve,0.5,fixed_z_width_path,9900.0,100.0
6,3.572370706353657e-08,6.598951044880991e-12,14418.636899668465,0.618584488738946,solve,0.5,fixed_z_width_path,9900.0,100.0
7,2.0346885658533272e-08,3.742651151538847e-12,14418.63692107872,0.6185844893583867,solve,0.5,fixed_z_width_path,9900.0,100.0
8,1.3357656567910414e-08,2.4652447272686046e-12,14418.636914478206,0.6185844891835088,solve,0.5,fixed_z_width_path,9900.0,100.0
0,217.44129066473351,0.45848297568160273,17094.836957820753,0.5196464212087542,solve,1.0,fixed_z_width_path,9900.0,75.0
1,35.83057284425762,0.05636308835834852,23181.866831963216,0.5190546919175967,solve,1.0,fixed_z_width_path,9900.0,75.0
2,0.7680674381597729,0.0010752888309457107,22333.395536803695,0.5190834445421884,solve,1.0,fixed_z_width_path,9900.0,75.0
3,0.0004439320717350959,3.920613594836138e-07,22317.70457104733,0.5190823400580228,solve,1.0,fixed_z_width_path,9900.0,75.0
4,1.2808771419597917e-07,2.1660571515586506e-11,22317.702783225748,0.5190824351633178,solve,0.5,fixed_z_width_path,9900.0,75.0
5,7.143728727436095e-08,1.208367131633044e-11,22317.695239766912,0.5190822405592671,solve,0.5,fixed_z_width_path,9900.0,75.0
6,4.174908568398767e-08,7.0582610137241094e-12,22317.695267045372,0.5190822411956026,solve,0.5,fixed_z_width_path,9900.0,75.0
7,2.513942289832787e-08,4.25670412129361e-12,22317.699029442905,0.5190823383047312,solve,0.5,fixed_z_width_path,9900.0,75.0
8,1.6688119454109257e-08,2.8281949269820616e-12,22317.69527735214,0.5190822415641849,solve,0.5,fixed_z_width_path,9900.0,75.0
9,1.0211882454699822e-08,1.7256242618097163e-12,22317.695285016573,0.5190822416690425,solve,0.5,fixed_z_width_path,9900.0,75.0
0,326.22540966593175,0.8140283433188557,31193.263579167036,0.36977608313494165,solve,1.0,fixed_z_width_path,9900.0,50.0
1,106.26742329763717,0.15269897303357782,53816.50914713831,0.36775577289478617,solve,1.0,fixed_z_width_path,9900.0,50.0
2,6.6556871416265,0.008257505529544192,48611.17331360769,0.36797505943734654,solve,1.0,fixed_z_width_path,9900.0,50.0
